"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP","Current_Player"
"2021-2022","Barcelona","La Liga","Sergio Busquets","ESP","MF","33",36,36,3198,35.5,2,0,2,2,0,0,12,0,0.6,0.6,1.7,2.3,24,291,36,0.06,0,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,"https://fbref.com/en/players/5ab0ea87/Sergio-Busquets",NA,"No"
"2021-2022","Barcelona","La Liga","Marc-André ter Stegen","GER","GK","29",35,35,3150,35,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen",NA,"Yes"
"2021-2022","Barcelona","La Liga","Jordi Alba","ESP","DF","32",30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29,"https://fbref.com/en/players/4601e194/Jordi-Alba",NA,"No"
"2021-2022","Barcelona","La Liga","Frenkie de Jong","NED","MF","24",32,30,2476,27.5,3,3,6,3,0,0,7,1,4.8,4.8,3.4,8.2,78,206,121,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.3,0.18,0.3,"https://fbref.com/en/players/1bacc518/Frenkie-de-Jong",NA,"Yes"
"2021-2022","Barcelona","La Liga","Gavi","ESP","MF,FW","16",34,28,2316,25.7,2,5,7,2,0,0,11,1,3.6,3.6,3.2,6.8,72,115,160,0.08,0.19,0.27,0.08,0.27,0.14,0.12,0.26,0.14,0.26,"https://fbref.com/en/players/19cae58d/Gavi",NA,"Yes"
"2021-2022","Barcelona","La Liga","Ronald Araújo","URU","DF","22",30,25,2272,25.2,4,0,4,4,0,0,6,0,1.5,1.5,1.2,2.8,30,91,14,0.16,0,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11,"https://fbref.com/en/players/2bef2bca/Ronald-Araujo",NA,"Yes"
"2021-2022","Barcelona","La Liga","Gerard Piqué","ESP","DF","34",27,25,2092,23.2,1,0,1,1,0,0,10,1,1.6,1.6,0.5,2.1,25,132,4,0.04,0,0.04,0.04,0.04,0.07,0.02,0.09,0.07,0.09,"https://fbref.com/en/players/adfc9123/Gerard-Pique",NA,"No"
"2021-2022","Barcelona","La Liga","Eric García","ESP","DF","20",26,23,2039,22.7,0,0,0,0,0,0,5,1,0.2,0.2,0.1,0.3,36,137,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01,"https://fbref.com/en/players/2bed3eab/Eric-Garcia",NA,"Yes"
"2021-2022","Barcelona","La Liga","Memphis","NED","FW","27",28,20,1851,20.6,12,2,14,8,4,5,3,0,11.2,7.3,4.4,11.7,83,72,239,0.58,0.1,0.68,0.39,0.49,0.54,0.21,0.76,0.35,0.57,"https://fbref.com/en/players/8f696594/Memphis",NA,"No"
"2021-2022","Barcelona","La Liga","Sergiño Dest","USA","DF,FW","20",21,17,1512,16.8,0,3,3,0,0,0,2,0,1.1,1.1,2.5,3.7,75,81,158,0,0.18,0.18,0,0.18,0.07,0.15,0.22,0.07,0.22,"https://fbref.com/en/players/5976f83e/Sergino-Dest",NA,"No"
"2021-2022","Barcelona","La Liga","Ferrán Torres","ESP","FW","21",18,17,1412,15.7,4,4,8,3,1,1,1,0,7,6.2,3.1,9.4,34,53,215,0.25,0.25,0.51,0.19,0.45,0.45,0.2,0.65,0.4,0.6,"https://fbref.com/en/players/9e1035f8/Ferran-Torres",NA,"Yes"
"2021-2022","Barcelona","La Liga","Ousmane Dembélé","FRA","FW","24",21,15,1409,15.7,1,13,14,1,0,0,3,0,2.6,2.6,8.3,10.9,128,70,201,0.06,0.83,0.89,0.06,0.89,0.17,0.53,0.7,0.17,0.7,"https://fbref.com/en/players/b19db005/Ousmane-Dembele",NA,"No"
"2021-2022","Barcelona","La Liga","Dani Alves","BRA","DF","38",14,13,1098,12.2,1,3,4,1,0,0,2,1,0.3,0.3,2.3,2.5,33,72,25,0.08,0.25,0.33,0.08,0.33,0.02,0.19,0.21,0.02,0.21,"https://fbref.com/en/players/c9e99e49/Dani-Alves",NA,"No"
"2021-2022","Barcelona","La Liga","Pierre-Emerick Aubameyang","GAB","FW","32",17,13,1082,12,11,1,12,11,0,0,0,0,7.8,7.8,1.1,8.9,16,16,79,0.91,0.08,1,0.91,1,0.65,0.09,0.74,0.65,0.74,"https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang",NA,"No"
"2021-2022","Barcelona","La Liga","Nicolás González","ESP","MF","19",27,12,1114,12.4,2,1,3,2,0,0,6,0,1.4,1.4,0.8,2.2,37,65,45,0.16,0.08,0.24,0.16,0.24,0.11,0.07,0.18,0.11,0.18,"https://fbref.com/en/players/2c56a792/Nicolas-Gonzalez",NA,"No"
"2021-2022","Barcelona","La Liga","Pedri","ESP","MF","18",12,10,885,9.8,3,1,4,3,0,0,0,0,1.3,1.3,1.2,2.5,23,84,42,0.31,0.1,0.41,0.31,0.41,0.13,0.12,0.25,0.13,0.25,"https://fbref.com/en/players/0d9b2d31/Pedri",NA,"Yes"
"2021-2022","Barcelona","La Liga","Óscar Mingueza","ESP","DF","22",19,9,894,9.9,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.2,13,43,40,0,0.1,0.1,0,0.1,0.03,0.09,0.12,0.03,0.12,"https://fbref.com/en/players/056269d7/Oscar-Mingueza",NA,"No"
"2021-2022","Barcelona","La Liga","Clément Lenglet","FRA","DF","26",21,7,826,9.2,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.5,19,80,1,0,0.11,0.11,0,0.11,0.02,0.04,0.05,0.02,0.05,"https://fbref.com/en/players/4f28a6ff/Clement-Lenglet",NA,"No"
"2021-2022","Barcelona","La Liga","Luuk de Jong","NED","FW","30",21,6,654,7.3,6,0,6,6,0,0,1,0,4.6,4.6,0.2,4.8,4,9,48,0.83,0,0.83,0.83,0.83,0.63,0.03,0.67,0.63,0.67,"https://fbref.com/en/players/abb3bb95/Luuk-de-Jong",NA,"No"
"2021-2022","Barcelona","La Liga","Abde Ezzalzouli","MAR","FW","19",10,6,580,6.4,1,0,1,1,0,0,4,0,1.3,1.3,0.9,2.2,47,8,76,0.16,0,0.16,0.16,0.16,0.2,0.14,0.33,0.2,0.33,"https://fbref.com/en/players/bed68338/Abde-Ezzalzouli",NA,"Yes"
"2021-2022","Barcelona","La Liga","Philippe Coutinho","BRA","MF,FW","29",12,5,503,5.6,2,0,2,1,1,1,1,0,3.1,2.3,0.3,2.5,22,35,49,0.36,0,0.36,0.18,0.18,0.55,0.04,0.6,0.41,0.46,"https://fbref.com/en/players/0ef89a37/Philippe-Coutinho",NA,"No"
"2021-2022","Barcelona","La Liga","Sergi Roberto","ESP","MF,DF","29",9,4,400,4.4,2,1,3,2,0,0,1,0,1.5,1.5,0.4,1.9,6,15,15,0.45,0.23,0.68,0.45,0.68,0.33,0.1,0.43,0.33,0.43,"https://fbref.com/en/players/335fa267/Sergi-Roberto",NA,"Yes"
"2021-2022","Barcelona","La Liga","Adama Traoré","ESP","FW","25",11,4,382,4.2,0,2,2,0,0,0,0,0,0.7,0.7,0.9,1.6,34,10,55,0,0.47,0.47,0,0.47,0.16,0.21,0.37,0.16,0.37,"https://fbref.com/en/players/9a28eba4/Adama-Traore",NA,"No"
"2021-2022","Barcelona","La Liga","Ferran Jutglà","ESP","FW","22",6,4,301,3.3,1,0,1,1,0,0,1,0,1.6,1.6,0.2,1.8,10,4,38,0.3,0,0.3,0.3,0.3,0.48,0.07,0.55,0.48,0.55,"https://fbref.com/en/players/2a9f6b4d/Ferran-Jutgla",NA,"No"
"2021-2022","Barcelona","La Liga","Ansu Fati","ESP","FW","18",10,3,336,3.7,4,0,4,4,0,0,0,0,1.3,1.3,0.4,1.8,20,9,49,1.07,0,1.07,1.07,1.07,0.36,0.12,0.47,0.36,0.47,"https://fbref.com/en/players/0ba976e4/Ansu-Fati",NA,"Yes"
"2021-2022","Barcelona","La Liga","Neto","BRA","GK","32",3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,"https://fbref.com/en/players/a9dc785c/Neto",NA,"No"
"2021-2022","Barcelona","La Liga","Antoine Griezmann","FRA","FW","30",3,3,263,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,5,11,15,0,0,0,0,0,0.09,0,0.09,0.09,0.09,"https://fbref.com/en/players/df69b544/Antoine-Griezmann",NA,"No"
"2021-2022","Barcelona","La Liga","Martin Braithwaite","DEN","FW","30",4,3,235,2.6,2,1,3,2,0,0,0,0,0.9,0.9,1.2,2.1,5,4,24,0.77,0.38,1.15,0.77,1.15,0.33,0.46,0.79,0.33,0.79,"https://fbref.com/en/players/fd771f95/Martin-Braithwaite",NA,"No"
"2021-2022","Barcelona","La Liga","Riqui Puig","ESP","MF","21",15,2,487,5.4,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,9,40,24,0.18,0,0.18,0.18,0.18,0.12,0.04,0.16,0.12,0.16,"https://fbref.com/en/players/f090a37a/Riqui-Puig",NA,"No"
"2021-2022","Barcelona","La Liga","Yusuf Demir","AUT","FW","18",6,2,192,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,3,17,0,0,0,0,0,0.04,0,0.04,0.04,0.04,"https://fbref.com/en/players/fa265f6d/Yusuf-Demir",NA,"No"
"2021-2022","Barcelona","La Liga","Alejandro Balde","ESP","DF,FW","17",5,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0.1,9,7,23,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,"https://fbref.com/en/players/5ccc9672/Alejandro-Balde",NA,"Yes"
"2021-2022","Barcelona","La Liga","Sergio Agüero","ARG","FW","33",4,2,151,1.7,1,0,1,1,0,0,0,0,1,1,0.1,1.1,4,3,13,0.6,0,0.6,0.6,0.6,0.61,0.07,0.68,0.61,0.68,"https://fbref.com/en/players/4d034881/Sergio-Aguero",NA,"No"
"2021-2022","Barcelona","La Liga","Ilias Akhomach","MAR","FW","17",2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0,0,0,0,0,0.11,0.43,0.54,0.11,0.54,"https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach",NA,"No"
"2021-2022","Barcelona","La Liga","Emerson","BRA","DF","22",3,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/df8b52a5/Emerson",NA,"No"
"2021-2022","Barcelona","La Liga","Samuel Umtiti","FRA","DF","27",1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3eed9821/Samuel-Umtiti",NA,"No"
"2021-2022","Barcelona","La Liga","Alvaro Sanz","ESP","MF","20",2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0.05,0,0.05,"https://fbref.com/en/players/eaefa2d0/Alvaro-Sanz",NA,"No"
"2021-2022","Barcelona","La Liga","Estanis","ESP","FW","17",1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ace50e9f/Estanis",NA,"No"
"2021-2022","Barcelona","La Liga","Mika Màrmol","ESP","DF","19",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e7630876/Mika-Marmol",NA,"No"
"2021-2022","Barcelona","La Liga","Lazar Carević","MNE","GK","22",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8804949c/Lazar-Carevic",NA,"No"
"2021-2022","Barcelona","La Liga","Arnau Comas","ESP","DF","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/01d45441/Arnau-Comas",NA,"No"
"2021-2022","Barcelona","La Liga","Lucas De Vega","ESP","MF","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f6f469c5/Lucas-De-Vega",NA,"No"
"2021-2022","Barcelona","La Liga","Guillem Jaime","ESP","DF","22",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3341009a/Guillem-Jaime",NA,"No"
"2021-2022","Barcelona","La Liga","Rey Manaj","ALB","FW","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7703afb6/Rey-Manaj",NA,"No"
"2021-2022","Barcelona","La Liga","Jandro Orellana","ESP","MF","20",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/693e93f1/Jandro-Orellana",NA,"No"
"2021-2022","Barcelona","La Liga","Iñaki Peña","ESP","GK","22",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cc1c5035/Inaki-Pena",NA,"Yes"
"2021-2022","Barcelona","La Liga","Miralem Pjanić","BIH","MF","31",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ad6df2d5/Miralem-Pjanic",NA,"No"
"2021-2022","Barcelona","La Liga","Arnau Tenas","ESP","GK","20",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/30670b0e/Arnau-Tenas",NA,"No"
"2022-2023","Barcelona","La Liga","Marc-André ter Stegen","GER","GK","30",NA,38,3347,37.2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,4,0,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen",38,"Yes"
"2022-2023","Barcelona","La Liga","Robert Lewandowski","POL","FW","33",NA,33,2847,31.6,23,7,30,23,0,1,4,1,24.3,23.5,6.3,29.8,52,100,248,0.73,0.22,0.95,0.73,0.95,0.77,0.2,0.97,0.74,0.94,"https://fbref.com/en/players/8d78e732/Robert-Lewandowski",34,"Yes"
"2022-2023","Barcelona","La Liga","Gavi","ESP","MF,FW","17",NA,30,2531,28.1,2,4,6,2,0,0,10,0,3.2,3.2,3.7,6.9,49,134,153,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24,"https://fbref.com/en/players/19cae58d/Gavi",36,"Yes"
"2022-2023","Barcelona","La Liga","Alejandro Balde","ESP","DF","18",NA,30,2471,27.5,1,6,7,1,0,0,4,0,1.9,1.9,4.9,6.8,96,79,234,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,"https://fbref.com/en/players/5ccc9672/Alejandro-Balde",33,"Yes"
"2022-2023","Barcelona","La Liga","Frenkie de Jong","NED","MF","25",NA,29,2534,28.2,2,4,6,2,0,0,3,0,2.4,2.4,4.3,6.7,92,279,83,0.07,0.14,0.21,0.07,0.21,0.09,0.15,0.24,0.09,0.24,"https://fbref.com/en/players/1bacc518/Frenkie-de-Jong",33,"Yes"
"2022-2023","Barcelona","La Liga","Jules Koundé","FRA","DF","23",NA,28,2426,27,1,3,4,1,0,0,2,0,1.1,1.1,2.8,3.9,58,185,61,0.04,0.11,0.15,0.04,0.15,0.04,0.1,0.15,0.04,0.15,"https://fbref.com/en/players/4d1666ff/Jules-Kounde",29,"Yes"
"2022-2023","Barcelona","La Liga","Sergio Busquets","ESP","MF","34",NA,28,2339,26,0,4,4,0,0,0,8,1,0.4,0.4,2.8,3.3,26,254,32,0,0.15,0.15,0,0.15,0.02,0.11,0.13,0.02,0.13,"https://fbref.com/en/players/5ab0ea87/Sergio-Busquets",30,"No"
"2022-2023","Barcelona","La Liga","Raphinha","BRA","FW","25",NA,25,2072,23,7,7,14,7,0,0,9,0,9.3,9.3,9.8,19.1,97,104,339,0.3,0.3,0.61,0.3,0.61,0.41,0.43,0.83,0.41,0.83,"https://fbref.com/en/players/3423f250/Raphinha",36,"Yes"
"2022-2023","Barcelona","La Liga","Pedri","ESP","MF","19",NA,22,1976,22,6,1,7,6,0,0,2,0,4.9,4.9,5,9.9,67,184,99,0.27,0.05,0.32,0.27,0.32,0.22,0.23,0.45,0.22,0.45,"https://fbref.com/en/players/0d9b2d31/Pedri",26,"Yes"
"2022-2023","Barcelona","La Liga","Andreas Christensen","DEN","DF","26",NA,22,1760,19.6,1,1,2,1,0,0,2,0,1,1,0.5,1.5,18,91,5,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,"https://fbref.com/en/players/1cb49278/Andreas-Christensen",23,"Yes"
"2022-2023","Barcelona","La Liga","Ronald Araújo","URU","DF","23",NA,21,1800,20,0,2,2,0,0,0,5,1,2.1,2.1,0.8,2.9,29,79,11,0,0.1,0.1,0,0.1,0.1,0.04,0.15,0.1,0.15,"https://fbref.com/en/players/2bef2bca/Ronald-Araujo",22,"Yes"
"2022-2023","Barcelona","La Liga","Ousmane Dembélé","FRA","FW","25",NA,16,1410,15.7,5,7,12,5,0,0,4,0,3.9,3.9,4.9,8.8,124,74,209,0.32,0.45,0.77,0.32,0.77,0.25,0.31,0.56,0.25,0.56,"https://fbref.com/en/players/b19db005/Ousmane-Dembele",25,"No"
"2022-2023","Barcelona","La Liga","Eric García","ESP","DF,MF","21",NA,15,1417,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.2,1.8,25,105,6,0.06,0,0.06,0.06,0.06,0.1,0.02,0.11,0.1,0.11,"https://fbref.com/en/players/2bed3eab/Eric-Garcia",24,"Yes"
"2022-2023","Barcelona","La Liga","Sergi Roberto","ESP","DF,MF","30",NA,15,1308,14.5,4,1,5,4,0,0,3,0,2.4,2.4,0.9,3.3,47,97,72,0.28,0.07,0.34,0.28,0.34,0.17,0.06,0.23,0.17,0.23,"https://fbref.com/en/players/335fa267/Sergi-Roberto",23,"Yes"
"2022-2023","Barcelona","La Liga","Jordi Alba","ESP","DF","33",NA,14,1419,15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7,42,141,157,0.13,0.19,0.32,0.13,0.32,0.05,0.4,0.44,0.05,0.44,"https://fbref.com/en/players/4601e194/Jordi-Alba",24,"No"
"2022-2023","Barcelona","La Liga","Ferrán Torres","ESP","FW,MF","22",NA,14,1392,15.5,4,2,6,4,0,1,5,1,4.9,4.1,4.1,8.2,43,44,180,0.26,0.13,0.39,0.26,0.39,0.32,0.26,0.58,0.27,0.53,"https://fbref.com/en/players/9e1035f8/Ferran-Torres",33,"Yes"
"2022-2023","Barcelona","La Liga","Ansu Fati","ESP","FW","19",NA,12,1393,15.5,7,3,10,7,0,0,3,0,9.1,9.1,1.7,10.7,47,48,178,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,"https://fbref.com/en/players/0ba976e4/Ansu-Fati",36,"Yes"
"2022-2023","Barcelona","La Liga","Marcos Alonso","ESP","DF","31",NA,11,1172,13,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12,0.08,0,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09,"https://fbref.com/en/players/f4290206/Marcos-Alonso",24,"Yes"
"2022-2023","Barcelona","La Liga","Franck Kessié","CIV","MF","25",NA,7,990,11,1,1,2,1,0,0,4,0,1.8,1.8,0.7,2.5,14,39,43,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23,"https://fbref.com/en/players/05e19d6a/Franck-Kessie",28,"No"
"2022-2023","Barcelona","La Liga","Gerard Piqué","ESP","DF","35",NA,4,384,4.3,0,0,0,0,0,0,2,1,0.4,0.4,0,0.4,3,35,1,0,0,0,0,0,0.09,0.01,0.09,0.09,0.09,"https://fbref.com/en/players/adfc9123/Gerard-Pique",6,"No"
"2022-2023","Barcelona","La Liga","Memphis","NED","FW","28",NA,2,114,1.3,1,0,1,1,0,0,0,0,0.9,0.9,0.1,1,2,7,19,0.79,0,0.79,0.79,0.79,0.68,0.11,0.79,0.68,0.79,"https://fbref.com/en/players/8f696594/Memphis",2,"No"
"2022-2023","Barcelona","La Liga","Pablo Torre","ESP","FW,MF","19",NA,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,4,11,16,0,0,0,0,0,0.02,0.3,0.31,0.02,0.31,"https://fbref.com/en/players/04e531b6/Pablo-Torre",8,"No"
"2022-2023","Barcelona","La Liga","Héctor Bellerín","ESP","DF","27",NA,1,143,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,13,6,0,0,0,0,0,0,0.06,0.06,0,0.06,"https://fbref.com/en/players/f874dd44/Hector-Bellerin",3,"No"
"2022-2023","Barcelona","La Liga","Iñaki Peña","ESP","GK","23",NA,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/cc1c5035/Inaki-Pena",2,"Yes"
"2022-2023","Barcelona","La Liga","Ángel Alarcón","ESP","FW,MF","18",NA,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.15,0,0.15,0.15,0.15,"https://fbref.com/en/players/455c26a4/Angel-Alarcon",4,"No"
"2022-2023","Barcelona","La Liga","Pierre-Emerick Aubameyang","GAB","FW","33",NA,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,1.18,0,1.18,1.18,1.18,"https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang",1,"No"
"2022-2023","Barcelona","La Liga","Lamine Yamal","ESP","FW","15",NA,0,8,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,2,2,0,0,0,0,0,3.94,0,3.94,3.94,3.94,"https://fbref.com/en/players/82ec26c1/Lamine-Yamal",1,"Yes"
"2022-2023","Barcelona","La Liga","Aleix Garrido","ESP","FW","18",NA,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5757adc3/Aleix-Garrido",1,"Yes"
"2022-2023","Barcelona","La Liga","Chadi Riad","MAR","MF","19",NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b3b9b8b8/Chadi-Riad",1,"No"
"2022-2023","Barcelona","La Liga","Arnau Tenas","ESP","GK","21",NA,0,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/30670b0e/Arnau-Tenas",0,"No"
"2022-2023","Barcelona","La Liga","Ander Astralaga","ESP","GK","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/031e0283/Ander-Astralaga",0,"Yes"
"2022-2023","Barcelona","La Liga","Marc Casado","ESP","MF","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2ef08833/Marc-Casado",0,"Yes"
"2022-2023","Barcelona","La Liga","Estanis","ESP","FW","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ace50e9f/Estanis",0,"No"
"2022-2023","Barcelona","La Liga","Marc Guiu","ESP","FW","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d3d774cc/Marc-Guiu",0,"Yes"
"2022-2023","Barcelona","La Liga","Unai Hernandez","ESP","MF","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5e39ce2c/Unai-Hernandez",0,"Yes"
"2022-2023","Barcelona","La Liga","Miralem Pjanić","BIH","MF","32",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ad6df2d5/Miralem-Pjanic",0,"No"
"2022-2023","Barcelona","La Liga","Pau Prim","ESP","MF","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9597e6d4/Pau-Prim",0,"Yes"
"2022-2023","Barcelona","La Liga","Daniel Rodriguez","ESP","MF","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f9cbad15/Daniel-Rodriguez",0,"No"
"2023-2024","Barcelona","La Liga","İlkay Gündoğan","GER","MF","32",NA,33,2994,33.3,5,9,14,4,1,2,5,0,7.3,5.7,10.3,16,71,224,116,0.15,0.27,0.42,0.12,0.39,0.22,0.31,0.53,0.17,0.48,"https://fbref.com/en/players/819b3158/Ilkay-Gundogan",36,"Yes"
"2023-2024","Barcelona","La Liga","Jules Koundé","FRA","DF","24",NA,32,2899,32.2,1,2,3,1,0,0,4,0,2,2,2.2,4.2,67,245,64,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,"https://fbref.com/en/players/4d1666ff/Jules-Kounde",35,"Yes"
"2023-2024","Barcelona","La Liga","Robert Lewandowski","POL","FW","34",NA,32,2750,30.6,19,8,27,15,4,4,5,0,18.1,15,4.9,19.9,43,64,168,0.62,0.26,0.88,0.49,0.75,0.59,0.16,0.75,0.49,0.65,"https://fbref.com/en/players/8d78e732/Robert-Lewandowski",35,"Yes"
